code,name,cal,prota,protv,fata,fatv,carb
2,"Баранки, сушки",272.0,0.0,8.6,0.0,0.5,56.8
194,Батоны,240.0,0.0,7.5,0.0,1.0,49.5
193,Булки городские,270.0,0.0,7.9,0.0,1.9,53.0
3,"Галеты Поход",334.0,0.0,12.7,0.0,0.0,68.8
4,Мука пшеничная,315.0,0.0,8.3,0.0,1.4,65.5
5,Мука ржаная,315.0,0.0,7.5,0.0,1.5,66.2
6,Печенье сахарное,408.0,0.0,9.9,0.0,9.8,67.7
7,Печенье сухое,424.0,0.0,12.0,0.0,14.6,58.4
8,Пряники,334.0,0.0,8.9,0.0,0.0,72.5
9,Сухари дорожные,340.0,0.0,10.1,0.0,1.0,69.0
10,Сухари пшеничные,335.0,0.0,10.5,0.0,1.2,68.5
11,Сухари ржаные,306.0,0.0,7.7,0.0,1.3,64.1
12,Хлеб пшеничный грубый,217.0,0.0,6.9,0.0,0.4,45.2
13,Хлеб пшеничный лучший,268.0,0.0,5.8,0.0,0.5,56.1
14,Хлеб ржаной,204.0,0.0,5.1,0.0,1.0,42.5
16,Брынза 40% жирности,237.0,15.1,0.0,18.0,0.0,1.9
227,Майонез Провансаль 250г,628.0,0.0,3.1,0.0,67.0,0.8
17,Маргарин молочный,720.0,0.4,0.0,77.1,0.0,0.4
18,Маргарин столовый,780.0,1.0,0.0,83.0,0.0,0.8
19,Масло подсолнечное,898.0,0.0,0.0,0.0,94.9,0.0
20,Масло слив. вологодское,733.0,0.8,0.0,78.2,0.0,0.6
21,Масло слив. несоленое,734.0,0.4,0.0,78.5,0.0,0.5
22,Масло слив. шоколадное,631.0,1.2,0.0,59.0,0.0,18.9
23,Масло топленое,869.0,0.0,0.0,93.5,0.0,0.0
24,Масло хлопковое,881.0,0.0,0.0,0.0,94.7,0.0
25,Молоко коровье сухое,469.0,22.8,0.0,24.4,0.0,36.3
26,Молоко сгущеное с сахаром,324.0,6.8,0.0,8.3,0.0,53.5
27,Молоко сгущеное без сах.,133.0,5.5,0.0,7.7,0.0,9.6
28,Молоко сухое,480.0,27.1,0.0,24.6,0.0,25.8
29,Молоко сухое обезжиренное,338.0,32.5,0.0,0.8,0.0,48.0
30,Сливки сгущеные с сахаром,383.0,6.2,0.0,18.2,0.0,45.9
